Row ID;Ship Date;Customer Name;City;State;Postal Code;Region;Category;Sub-Category;Product Name;Sales;Quantity
1;2016-11-11;Claire Gute;Henderson;Kentucky;42420;South;Furniture;Bookcases;Bush Somerset Collection Bookcase;261,96;2
2;2016-11-11;Claire Gute;Henderson;Kentucky;42420;South;Furniture;Chairs;Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back;731,94;3
3;2016-06-16;Darrin Van Huff;Los Angeles;California;90036;West;Office Supplies;Labels;Self-Adhesive Address Labels for Typewriters by Universal;14,62;2
4;2015-10-18;Sean O'Donnell;Fort Lauderdale;Florida;33311;South;Furniture;Tables;Bretford CR4500 Series Slim Rectangular Table;957,5775;5
5;2015-10-18;Sean O'Donnell;Fort Lauderdale;Florida;33311;South;Office Supplies;Storage;Eldon Fold 'N Roll Cart System;22,368;2
6;2014-06-14;Brosina Hoffman;Los Angeles;California;90032;West;Furniture;Furnishings;Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood;48,86;7
7;2014-06-14;Brosina Hoffman;Los Angeles;California;90032;West;Office Supplies;Art;Newell 322;7,28;4
8;2014-06-14;Brosina Hoffman;Los Angeles;California;90032;West;Technology;Phones;Mitel 5320 IP Phone VoIP phone;907,152;6
9;2014-06-14;Brosina Hoffman;Los Angeles;California;90032;West;Office Supplies;Binders;DXL Angle-View Binders with Locking Rings by Samsill;18,504;3
10;2014-06-14;Brosina Hoffman;Los Angeles;California;90032;West;Office Supplies;Appliances;Belkin F5C206VTEL 6 Outlet Surge;114,9;5
11;2014-06-14;Brosina Hoffman;Los Angeles;California;90032;West;Furniture;Tables;Chromcraft Rectangular Conference Tables;1706,184;9
12;2014-06-14;Brosina Hoffman;Los Angeles;California;90032;West;Technology;Phones;Konftel 250 Conference phone - Charcoal black;911,424;4
13;2017-04-20;Andrew Allen;Concord;North Carolina;28027;South;Office Supplies;Paper;Xerox 1967;15,552;3
14;2016-12-10;Irene Maddox;Seattle;Washington;98103;West;Office Supplies;Binders;Fellowes PB200 Plastic Comb Binding Machine;407,976;3
15;2015-11-26;Harold Pawlan;Fort Worth;Texas;76106;Central;Office Supplies;Appliances;Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter;68,81;5
16;2015-11-26;Harold Pawlan;Fort Worth;Texas;76106;Central;Office Supplies;Binders;Storex DuraTech Recycled Plastic Frosted Binders;2,544;3
17;2014-11-18;Pete Kriz;Madison;Wisconsin;53711;Central;Office Supplies;Storage;"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D";665,88;6
18;2014-05-15;Alejandro Grove;West Jordan;Utah;84084;West;Office Supplies;Storage;Fellowes Super Stor/Drawer;55,5;2
19;2014-09-01;Zuschuss Donatelli;San Francisco;California;94109;West;Office Supplies;Art;Newell 341;8,56;2
20;2014-09-01;Zuschuss Donatelli;San Francisco;California;94109;West;Technology;Phones;Cisco SPA 501G IP Phone;213,48;3
21;2014-09-01;Zuschuss Donatelli;San Francisco;California;94109;West;Office Supplies;Binders;"Wilson Jones Hanging View Binder, White, 1""";22,72;4
22;2016-12-13;Ken Black;Fremont;Nebraska;68025;Central;Office Supplies;Art;Newell 318;19,46;7
23;2016-12-13;Ken Black;Fremont;Nebraska;68025;Central;Office Supplies;Appliances;Acco Six-Outlet Power Strip, 4' Cord Length;60,34;7
24;2017-07-18;Sandra Flanagan;Philadelphia;Pennsylvania;19140;East;Furniture;Chairs;Global Deluxe Stacking Chair, Gray;71,372;2
25;2015-09-30;Emily Burns;Orem;Utah;84057;West;Furniture;Tables;Bretford CR4500 Series Slim Rectangular Table;1044,63;3
26;2016-01-20;Eric Hoffmann;Los Angeles;California;90049;West;Office Supplies;Binders;Wilson Jones Active Use Binders;11,648;2
27;2016-01-20;Eric Hoffmann;Los Angeles;California;90049;West;Technology;Accessories;Imation 8GB Mini TravelDrive USB 2.0 Flash Drive;90,57;3
28;2015-09-21;Tracy Blumstein;Philadelphia;Pennsylvania;19140;East;Furniture;Bookcases;Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish;3083,43;7
29;2015-09-21;Tracy Blumstein;Philadelphia;Pennsylvania;19140;East;Office Supplies;Binders;Avery Recycled Flexi-View Covers for Binding Systems;9,618;2
30;2015-09-21;Tracy Blumstein;Philadelphia;Pennsylvania;19140;East;Furniture;Furnishings;"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock";124,2;3
31;2015-09-21;Tracy Blumstein;Philadelphia;Pennsylvania;19140;East;Office Supplies;Envelopes;Poly String Tie Envelopes;3,264;2
32;2015-09-21;Tracy Blumstein;Philadelphia;Pennsylvania;19140;East;Office Supplies;Art;BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain;86,304;6
33;2015-09-21;Tracy Blumstein;Philadelphia;Pennsylvania;19140;East;Office Supplies;Binders;"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red";6,858;6
34;2015-09-21;Tracy Blumstein;Philadelphia;Pennsylvania;19140;East;Office Supplies;Art;Lumber Crayons;15,76;2
35;2017-10-23;Matt Abelman;Houston;Texas;77095;Central;Office Supplies;Paper;Easy-staple paper;29,472;3
36;2016-12-10;Gene Hale;Richardson;Texas;75080;Central;Technology;Phones;GE 30524EE4;1097,544;7
37;2016-12-10;Gene Hale;Richardson;Texas;75080;Central;Furniture;Furnishings;Electrix Architect's Clamp-On Swing Arm Lamp, Black;190,92;5
38;2015-12-31;Steve Nguyen;Houston;Texas;77041;Central;Office Supplies;Envelopes;"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes";113,328;9
39;2015-12-31;Steve Nguyen;Houston;Texas;77041;Central;Furniture;Bookcases;Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors;532,3992;3
40;2015-12-31;Steve Nguyen;Houston;Texas;77041;Central;Furniture;Chairs;Global Fabric Manager's Chair, Dark Gray;212,058;3
41;2015-12-31;Steve Nguyen;Houston;Texas;77041;Central;Technology;Phones;Plantronics HL10 Handset Lifter;371,168;4
42;2017-09-15;Linda Cazamias;Naperville;Illinois;60540;Central;Technology;Phones;Panasonic Kx-TS550;147,168;4
43;2016-07-22;Ruben Ausman;Los Angeles;California;90049;West;Office Supplies;Storage;Eldon Base for stackable storage shelf, platinum;77,88;2
44;2017-09-23;Erin Smith;Melbourne;Florida;32935;South;Office Supplies;Storage;Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers;95,616;2
45;2016-03-13;Odella Nelson;Eagan;Minnesota;55122;Central;Technology;Accessories;Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack;45,98;2
46;2016-03-13;Odella Nelson;Eagan;Minnesota;55122;Central;Office Supplies;Binders;Wilson Jones Leather-Like Binders with DublLock Round Rings;17,46;2
47;2014-10-25;Patrick O'Donnell;Westland;Michigan;48185;Central;Office Supplies;Storage;Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black;211,96;4
48;2016-06-25;Lena Hernandez;Dover;Delaware;19901;East;Technology;Accessories;Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive;45;3
49;2016-06-25;Lena Hernandez;Dover;Delaware;19901;East;Technology;Phones;LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite;21,8;2
50;2015-04-22;Darren Powers;New Albany;Indiana;47150;Central;Office Supplies;Binders;C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack;38,22;6
51;2015-04-22;Darren Powers;New Albany;Indiana;47150;Central;Office Supplies;Labels;Avery 485;75,18;6
52;2015-04-22;Darren Powers;New Albany;Indiana;47150;Central;Furniture;Furnishings;Longer-Life Soft White Bulbs;6,16;2
53;2015-04-22;Darren Powers;New Albany;Indiana;47150;Central;Furniture;Chairs;Global Leather Task Chair, Black;89,99;1
54;2016-12-17;Janet Molinari;New York City;New York;10024;East;Office Supplies;Fasteners;Advantus Push Pins;15,26;7
55;2016-12-17;Janet Molinari;New York City;New York;10024;East;Technology;Phones;AT&T CL83451 4-Handset Telephone;1029,95;5
56;2016-06-18;Ted Butterfield;Troy;New York;12180;East;Office Supplies;Storage;Home/Office Personal File Carts;208,56;6
57;2016-06-18;Ted Butterfield;Troy;New York;12180;East;Office Supplies;Paper;Xerox 232;32,4;5
58;2016-06-18;Ted Butterfield;Troy;New York;12180;East;Furniture;Chairs;Novimex Turbo Task Chair;319,41;5
59;2016-06-18;Ted Butterfield;Troy;New York;12180;East;Office Supplies;Paper;Array Parchment Paper, Assorted Colors;14,56;2
60;2016-06-18;Ted Butterfield;Troy;New York;12180;East;Technology;Accessories;Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive;30;2
61;2016-06-18;Ted Butterfield;Troy;New York;12180;East;Office Supplies;Binders;Plastic Binding Combs;48,48;4
62;2016-06-18;Ted Butterfield;Troy;New York;12180;East;Office Supplies;Art;Prang Dustless Chalk Sticks;1,68;1
63;2015-11-30;Kunst Miller;Los Angeles;California;90004;West;Technology;Accessories;Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack;13,98;2
64;2015-11-30;Kunst Miller;Los Angeles;California;90004;West;Office Supplies;Binders;"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""";25,824;6
65;2015-11-30;Kunst Miller;Los Angeles;California;90004;West;Office Supplies;Paper;Xerox 1943;146,73;3
66;2015-11-30;Kunst Miller;Los Angeles;California;90004;West;Furniture;Furnishings;Luxo Economy Swing Arm Lamp;79,76;4
67;2015-05-05;Paul Stevenson;Chicago;Illinois;60610;Central;Furniture;Chairs;Global Value Mid-Back Manager's Chair, Gray;213,115;5
68;2014-12-10;Brendan Sweed;Gilbert;Arizona;85234;West;Office Supplies;Art;Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige;1113,024;8
69;2014-12-10;Brendan Sweed;Gilbert;Arizona;85234;West;Technology;Phones;netTALK DUO VoIP Telephone Service;167,968;4
70;2016-06-06;Karen Daniels;Springfield;Virginia;22153;South;Office Supplies;Paper;Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate;75,88;2
71;2016-09-23;Henry MacAllister;New York City;New York;10009;East;Office Supplies;Binders;Avery Binding System Hidden Tab Executive Style Index Sets;4,616;1
72;2017-09-17;Tracy Blumstein;Jackson;Michigan;49201;Central;Office Supplies;Paper;"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""";19,05;3
73;2015-05-02;Joel Eaton;Memphis;Tennessee;38109;South;Furniture;Chairs;High-Back Leather Manager's Chair;831,936;8
74;2015-05-02;Joel Eaton;Memphis;Tennessee;38109;South;Furniture;Furnishings;"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""";97,04;2
75;2015-05-02;Joel Eaton;Memphis;Tennessee;38109;South;Office Supplies;Storage;Safco Industrial Wire Shelving System;72,784;1
76;2017-12-11;Ken Brennan;Houston;Texas;77041;Central;Office Supplies;Binders;Economy Binders;1,248;3
77;2017-12-11;Ken Brennan;Houston;Texas;77041;Central;Furniture;Furnishings;"6"" Cubicle Wall Clock, Black";9,708;3
78;2017-12-11;Ken Brennan;Houston;Texas;77041;Central;Office Supplies;Storage;SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h;27,24;3
79;2014-12-01;Joel Eaton;Houston;Texas;77070;Central;Furniture;Furnishings;Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak;19,3;5
80;2016-06-15;Stewart Carmichael;Decatur;Alabama;35601;South;Office Supplies;Appliances;"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators";208,16;1
81;2016-06-15;Stewart Carmichael;Decatur;Alabama;35601;South;Office Supplies;Binders;Avery Heavy-Duty EZD  Binder With Locking Rings;16,74;3
82;2014-10-16;Duane Noonan;San Francisco;California;94122;West;Office Supplies;Art;Premium Writing Pencils, Soft, #2 by Central Association for the Blind;14,9;5
83;2014-10-16;Duane Noonan;San Francisco;California;94122;West;Office Supplies;Storage;Sortfiler Multipurpose Personal File Organizer, Black;21,39;1
84;2015-09-08;Julie Creighton;Durham;North Carolina;27707;South;Office Supplies;Envelopes;Jet-Pak Recycled Peel 'N' Seal Padded Mailers;200,984;7
85;2017-11-16;Christopher Schild;Chicago;Illinois;60623;Central;Office Supplies;Storage;Safco Industrial Wire Shelving;230,376;3
